UZAName,MSACode,BusEqRevMi,UZAPop,BusEqRevMiPC
"Abilene, TX",,503847.2945,107041,4.707049584
"Aguadilla-Isabela-San Sebastian, PR",,NA,299086,NA
"Akron, OH",,4871719.416,570215,8.543653562
"Albany, GA",,542050.0628,95450,5.678890129
"Albany, NY",,6853536.198,558947,12.26151352
"Albuquerque, NM",,4600451.784,598191,7.69060682
"Alexandria, LA",,423602.3136,78504,5.395932865
"Allentown-Bethlehem, PA-NJ",,2801036.529,576408,4.859468518
"Alton, IL",,NA,NA,NA
"Altoona, PA",,603051.3322,82520,7.307941496
"Amarillo, TX",,659347.0898,179312,3.677094059
"Ames, IA",,921503.3816,50726,18.16629306
"Anchorage, AK",,2759794.035,225744,12.22532619
"Anderson, IN",,290670.6498,97038,2.99543117
"Anderson, SC",,NA,70436,NA
"Ann Arbor, MI",,3633590.943,283904,12.79866061
"Anniston, AL",,NA,75840,NA
"Antioch, CA",,2130615.933,217591,9.791838509
"Appleton, WI",,1205335.325,187683,6.422187013
"Asheville, NC",,713757.5493,221570,3.221363674
