VehAge,IncGrp,VehType,Prop
0,0to20K,Auto,0.000689072418377973
1,0to20K,Auto,0.00544718672262607
2,0to20K,Auto,0.005573820659
3,0to20K,Auto,0.00585448452531851
4,0to20K,Auto,0.00622764779157281
5,0to20K,Auto,0.00663688404144811
6,0to20K,Auto,0.00707275808142761
7,0to20K,Auto,0.00753381782978767
8,0to20K,Auto,0.00802094057368739
9,0to20K,Auto,0.00852243254487315
10,0to20K,Auto,0.00899898461766469
11,0to20K,Auto,0.00939565546417493
12,0to20K,Auto,0.00965283760217326
13,0to20K,Auto,0.00972982281734327
14,0to20K,Auto,0.00961575904600694
15,0to20K,Auto,0.00931081773253509
16,0to20K,Auto,0.00884747097809898
17,0to20K,Auto,0.00826948080813357
18,0to20K,Auto,0.00761973701780499
19,0to20K,Auto,0.00694496549095473
20,0to20K,Auto,0.0062614006265815
21,0to20K,Auto,0.00554210815999331
22,0to20K,Auto,0.00473226538269605
23,0to20K,Auto,0.00379957776442596
24,0to20K,Auto,0.00279556279083542
25,0to20K,Auto,0.0018549655573974
26,0to20K,Auto,0.00111250396673203
27,0to20K,Auto,0.000615524709362564
28,0to20K,Auto,0.000327306801354976
29,0to20K,Auto,0.000151632625162581
30,0to20K,Auto,8.44419095554236e-05
31,0to20K,Auto,3.90822402062035e-05
32,0to20K,Auto,2.15289324199488e-05
0,20Kto40K,Auto,0.00154477949197307
1,20Kto40K,Auto,0.0119987272716887
2,20Kto40K,Auto,0.0120600755118829
3,20Kto40K,Auto,0.0121646829184045
4,20Kto40K,Auto,0.0122733615086917
5,20Kto40K,Auto,0.0123779523758167
6,20Kto40K,Auto,0.0125107524604092
7,20Kto40K,Auto,0.0126924853138579
8,20Kto40K,Auto,0.0129240178443009
9,20Kto40K,Auto,0.0131728701987043
10,20Kto40K,Auto,0.0133690115413486
11,20Kto40K,Auto,0.0134343150707507
12,20Kto40K,Auto,0.0132989312713844
13,20Kto40K,Auto,0.0129288951138399
14,20Kto40K,Auto,0.0123322075873495
15,20Kto40K,Auto,0.0115264157581094
16,20Kto40K,Auto,0.0105562553545474
17,20Kto40K,Auto,0.00946996011443553
18,20Kto40K,Auto,0.00830690496406319
19,20Kto40K,Auto,0.00710811637147281
20,20Kto40K,Auto,0.00591167080366636
21,20Kto40K,Auto,0.00476543997464743
22,20Kto40K,Auto,0.00373282850817056
23,20Kto40K,Auto,0.00287377764242896
24,20Kto40K,Auto,0.00221187342627564
25,20Kto40K,Auto,0.00171484583605701
26,20Kto40K,Auto,0.00131690805009472
27,20Kto40K,Auto,0.000966385624679437
28,20Kto40K,Auto,0.00063560033659038
29,20Kto40K,Auto,0.000313561345913695
30,20Kto40K,Auto,0.000163899715492605
31,20Kto40K,Auto,6.71530330193876e-05
32,20Kto40K,Auto,3.1484585411017e-05
0,40Kto60K,Auto,0.0014644798767914
1,40Kto60K,Auto,0.0114933927882837
2,40Kto60K,Auto,0.0116778235722275
3,40Kto60K,Auto,0.0120721385160842
4,40Kto60K,Auto,0.0125639651049267
5,40Kto60K,Auto,0.0130264242861832
6,40Kto60K,Auto,0.0133703278273087
7,40Kto60K,Auto,0.013498895260568
8,40Kto60K,Auto,0.0133439442312416
9,40Kto60K,Auto,0.0128939771165672
10,40Kto60K,Auto,0.0122025703260565
11,40Kto60K,Auto,0.0113761102307059
12,40Kto60K,Auto,0.0105146070553252
13,40Kto60K,Auto,0.00968242909110126
14,40Kto60K,Auto,0.00890220388122561
15,40Kto60K,Auto,0.00814868505520557
16,40Kto60K,Auto,0.00738623207838935
17,40Kto60K,Auto,0.00657879516245823
18,40Kto60K,Auto,0.00570302755733387
19,40Kto60K,Auto,0.00476850085541675
20,40Kto60K,Auto,0.00381884743407404
21,40Kto60K,Auto,0.00293037693692254
22,40Kto60K,Auto,0.00218749705203173
23,40Kto60K,Auto,0.00163594775781987
24,40Kto60K,Auto,0.00125407757378175
25,40Kto60K,Auto,0.000974727158501654
26,40Kto60K,Auto,0.000739376190271886
27,40Kto60K,Auto,0.000529056875051061
28,40Kto60K,Auto,0.000343368611644409
29,40Kto60K,Auto,0.000173260045179539
30,40Kto60K,Auto,9.65481203738654e-05
31,40Kto60K,Auto,4.3329730301833e-05
32,40Kto60K,Auto,2.2964896572695e-05
0,60Kto80K,Auto,0.00095417537936037
1,60Kto80K,Auto,0.00739518459593728
2,60Kto80K,Auto,0.00741659342440686
3,60Kto80K,Auto,0.00744016137343708
4,60Kto80K,Auto,0.00744009365088951
5,60Kto80K,Auto,0.00739962695884749
6,60Kto80K,Auto,0.00731008734034471
7,60Kto80K,Auto,0.00715166139179415
8,60Kto80K,Auto,0.0069061326803548
9,60Kto80K,Auto,0.00656834630151501
10,60Kto80K,Auto,0.00615413299844917
11,60Kto80K,Auto,0.00570133921654266
12,60Kto80K,Auto,0.00524858661736029
13,60Kto80K,Auto,0.0048254379474942
14,60Kto80K,Auto,0.00444806762402621
15,60Kto80K,Auto,0.00411079009667912
16,60Kto80K,Auto,0.00379849897082272
17,60Kto80K,Auto,0.00348539682537693
18,60Kto80K,Auto,0.0031401395345377
19,60Kto80K,Auto,0.00274094339102433
20,60Kto80K,Auto,0.00227996792618167
21,60Kto80K,Auto,0.00177475062033578
22,60Kto80K,Auto,0.0012732143806921
23,60Kto80K,Auto,0.000837570514917397
24,60Kto80K,Auto,0.000512673368711242
25,60Kto80K,Auto,0.000303525969365387
26,60Kto80K,Auto,0.00018173024434768
27,60Kto80K,Auto,0.000111143512905326
28,60Kto80K,Auto,6.68194523435672e-05
29,60Kto80K,Auto,3.30276458640684e-05
30,60Kto80K,Auto,1.85330500377375e-05
31,60Kto80K,Auto,8.46599671831481e-06
32,60Kto80K,Auto,4.59293402964135e-06
0,80Kto100K,Auto,0.00106559084677346
1,80Kto100K,Auto,0.00821084871497576
2,80Kto100K,Auto,0.00818777052670301
3,80Kto100K,Auto,0.00811076753095241
4,80Kto100K,Auto,0.00798350743039848
5,80Kto100K,Auto,0.00782354863335691
6,80Kto100K,Auto,0.00763909953395199
7,80Kto100K,Auto,0.00740956224350541
8,80Kto100K,Auto,0.00709949684423723
9,80Kto100K,Auto,0.00667771425731305
10,80Kto100K,Auto,0.00613737118201954
11,80Kto100K,Auto,0.00550714773842063
12,80Kto100K,Auto,0.00483255530570131
13,80Kto100K,Auto,0.00416191162287883
14,80Kto100K,Auto,0.00353630330958244
15,80Kto100K,Auto,0.00297960594794979
16,80Kto100K,Auto,0.00250487872305621
17,80Kto100K,Auto,0.0021152748409312
18,80Kto100K,Auto,0.00180497501618103
19,80Kto100K,Auto,0.00156400598931214
20,80Kto100K,Auto,0.00138303727359732
21,80Kto100K,Auto,0.00125318111310512
22,80Kto100K,Auto,0.00116072568039656
23,80Kto100K,Auto,0.0010806589390157
24,80Kto100K,Auto,0.000980050017070183
25,80Kto100K,Auto,0.000834526539526742
26,80Kto100K,Auto,0.00064711044025921
27,80Kto100K,Auto,0.000447898599864268
28,80Kto100K,Auto,0.000268568591526738
29,80Kto100K,Auto,0.00012050860482331
30,80Kto100K,Auto,5.79458874188376e-05
31,80Kto100K,Auto,2.22645280338573e-05
32,80Kto100K,Auto,9.78316728219075e-06
0,100KPlus,Auto,0.00152736007753238
1,100KPlus,Auto,0.0115831631604587
2,100KPlus,Auto,0.0113608799969323
3,100KPlus,Auto,0.0108179945806139
4,100KPlus,Auto,0.0100677681679991
5,100KPlus,Auto,0.00926792052077688
6,100KPlus,Auto,0.00851405378515784
7,100KPlus,Auto,0.00783433901695236
8,100KPlus,Auto,0.00720488754575223
9,100KPlus,Auto,0.00657942635233526
10,100KPlus,Auto,0.00592489960032226
11,100KPlus,Auto,0.00524219359475168
12,100KPlus,Auto,0.00455317175975956
13,100KPlus,Auto,0.00388880834088468
14,100KPlus,Auto,0.00327905154750631
15,100KPlus,Auto,0.00274284603155715
16,100KPlus,Auto,0.00229355682243919
17,100KPlus,Auto,0.00193890613349032
18,100KPlus,Auto,0.00167888556238174
19,100KPlus,Auto,0.00150532505468082
20,100KPlus,Auto,0.00140001207333737
21,100KPlus,Auto,0.00133066209866674
22,100KPlus,Auto,0.00125369100566968
23,100KPlus,Auto,0.00113018389787124
24,100KPlus,Auto,0.000948730108133019
25,100KPlus,Auto,0.000732390519008171
26,100KPlus,Auto,0.000520808229420525
27,100KPlus,Auto,0.000343924963271416
28,100KPlus,Auto,0.000208741011034989
29,100KPlus,Auto,0.000100417130507469
30,100KPlus,Auto,5.37837458633503e-05
31,100KPlus,Auto,2.32614140023132e-05
32,100KPlus,Auto,1.18151840190084e-05
0,0to20K,LtTruck,3.8077810976786e-06
1,0to20K,LtTruck,0.00203680796025813
2,0to20K,LtTruck,0.00275317795045612
3,0to20K,LtTruck,0.00326530683967088
4,0to20K,LtTruck,0.00397157513355646
5,0to20K,LtTruck,0.00478398402103242
6,0to20K,LtTruck,0.00562578617174339
7,0to20K,LtTruck,0.00642151401310924
8,0to20K,LtTruck,0.00710516325352591
9,0to20K,LtTruck,0.0076233342504205
10,0to20K,LtTruck,0.00792887143290408
11,0to20K,LtTruck,0.007991853586444
12,0to20K,LtTruck,0.00782057732263926
13,0to20K,LtTruck,0.00744897956546535
14,0to20K,LtTruck,0.0069384929144641
15,0to20K,LtTruck,0.00635256579898413
16,0to20K,LtTruck,0.00575528039409075
17,0to20K,LtTruck,0.00521584903924697
18,0to20K,LtTruck,0.00478705837160902
19,0to20K,LtTruck,0.00446912054264909
20,0to20K,LtTruck,0.00429139585416747
21,0to20K,LtTruck,0.00412091585089795
22,0to20K,LtTruck,0.00386808048288927
23,0to20K,LtTruck,0.00345176198581435
24,0to20K,LtTruck,0.00286804842828961
25,0to20K,LtTruck,0.00219838127364229
26,0to20K,LtTruck,0.00155999682928675
27,0to20K,LtTruck,0.00104493105814636
28,0to20K,LtTruck,0.000682246486858844
29,0to20K,LtTruck,0.000445389414575203
30,0to20K,LtTruck,0.000276111329793337
31,0to20K,LtTruck,0.000219845167876759
32,0to20K,LtTruck,0.000195898059926785
0,20Kto40K,LtTruck,1.67697787762053e-05
1,20Kto40K,LtTruck,0.00823823412294483
2,20Kto40K,LtTruck,0.010300971664961
3,20Kto40K,LtTruck,0.0106918924283215
4,20Kto40K,LtTruck,0.0111558219792024
5,20Kto40K,LtTruck,0.0115993796398055
6,20Kto40K,LtTruck,0.0119732134422882
7,20Kto40K,LtTruck,0.0122666538757871
8,20Kto40K,LtTruck,0.0124892234715882
9,20Kto40K,LtTruck,0.012651495759782
10,20Kto40K,LtTruck,0.0127416422251206
11,20Kto40K,LtTruck,0.0127279556232876
12,20Kto40K,LtTruck,0.0125780562745348
13,20Kto40K,LtTruck,0.0122472574709892
14,20Kto40K,LtTruck,0.0117097691886179
15,20Kto40K,LtTruck,0.0109505135974579
16,20Kto40K,LtTruck,0.00998951428102941
17,20Kto40K,LtTruck,0.00890070291738937
18,20Kto40K,LtTruck,0.00777378297439372
19,20Kto40K,LtTruck,0.00665135320789356
20,20Kto40K,LtTruck,0.00564931737119188
21,20Kto40K,LtTruck,0.00472017955740638
22,20Kto40K,LtTruck,0.0039339230683199
23,20Kto40K,LtTruck,0.00330374055047746
24,20Kto40K,LtTruck,0.00279213830951485
25,20Kto40K,LtTruck,0.00234623900606025
26,20Kto40K,LtTruck,0.00192976642506856
27,20Kto40K,LtTruck,0.00153410845928905
28,20Kto40K,LtTruck,0.00117132184677085
29,20Kto40K,LtTruck,0.000850318166057567
30,20Kto40K,LtTruck,0.000552417062083501
31,20Kto40K,LtTruck,0.00044328212045939
32,20Kto40K,LtTruck,0.00039111186736149
0,40Kto60K,LtTruck,2.00923576308709e-05
1,40Kto60K,LtTruck,0.0098793171804847
2,40Kto60K,LtTruck,0.012367942720638
3,40Kto60K,LtTruck,0.0128660038266763
4,40Kto60K,LtTruck,0.0134475512060206
5,40Kto60K,LtTruck,0.0139580538500004
6,40Kto60K,LtTruck,0.0142745175130101
7,40Kto60K,LtTruck,0.0143146686464285
8,40Kto60K,LtTruck,0.014040433755922
9,40Kto60K,LtTruck,0.0134595627047652
10,40Kto60K,LtTruck,0.0126190358957302
11,40Kto60K,LtTruck,0.0116122156983839
12,40Kto60K,LtTruck,0.0105648025041402
13,40Kto60K,LtTruck,0.00957377039163472
14,40Kto60K,LtTruck,0.00869732826120665
15,40Kto60K,LtTruck,0.00793350361283225
16,40Kto60K,LtTruck,0.00724850032695823
17,40Kto60K,LtTruck,0.00661719861511309
18,40Kto60K,LtTruck,0.00601869089817581
19,40Kto60K,LtTruck,0.00540510112388933
20,40Kto60K,LtTruck,0.00481253409630462
21,40Kto60K,LtTruck,0.00415849490479005
22,40Kto60K,LtTruck,0.00348840357011957
23,40Kto60K,LtTruck,0.00284905541470924
24,40Kto60K,LtTruck,0.00227298328162639
25,40Kto60K,LtTruck,0.00177168511507378
26,40Kto60K,LtTruck,0.00134362941882846
27,40Kto60K,LtTruck,0.000985207340511637
28,40Kto60K,LtTruck,0.000694914991234696
29,40Kto60K,LtTruck,0.000468501147337864
30,40Kto60K,LtTruck,0.000286178704138945
31,40Kto60K,LtTruck,0.000219746731405481
32,40Kto60K,LtTruck,0.000184460511741507
0,60Kto80K,LtTruck,1.70607010745472e-05
1,60Kto80K,LtTruck,0.00819276784203495
2,60Kto80K,LtTruck,0.0100092174833612
3,60Kto80K,LtTruck,0.00992300727401238
4,60Kto80K,LtTruck,0.00970331686957488
5,60Kto80K,LtTruck,0.00932415307409835
6,60Kto80K,LtTruck,0.00879752021805181
7,60Kto80K,LtTruck,0.00817767595846068
8,60Kto80K,LtTruck,0.00753052599411138
